iter	Passed	Remaining
0	216	216506
1	220	110149
2	227	75563
3	237	59226
4	242	48176
5	251	41720
6	262	37251
7	267	33137
8	269	29699
9	272	26928
10	276	24892
11	279	23018
12	282	21424
13	284	20048
14	286	18845
15	291	17936
16	293	16979
17	295	16134
18	297	15369
19	299	14669
20	301	14039
21	303	13487
22	305	12972
23	307	12487
24	308	12042
25	310	11630
26	312	11245
27	313	10893
28	316	10596
29	318	10293
30	319	9985
31	320	9691
32	321	9415
33	322	9156
34	323	8911
35	324	8679
36	325	8460
37	325	8252
38	326	8055
39	327	7867
40	328	7688
41	329	7526
42	331	7381
43	332	7231
44	334	7094
45	335	6962
46	337	6838
47	338	6713
48	339	6590
49	340	6471
50	341	6358
51	342	6248
52	344	6159
53	345	6056
54	346	5955
55	347	5859
56	348	5766
57	349	5675
58	350	5589
59	351	5508
60	352	5426
61	353	5347
62	354	5270
63	355	5197
64	356	5125
65	357	5054
66	359	5007
67	360	4936
68	361	4873
69	362	4810
70	362	4749
71	363	4690
72	364	4633
73	365	4576
74	366	4522
75	367	4468
76	368	4417
77	369	4368
78	370	4319
79	371	4271
80	372	4231
81	374	4190
82	375	4145
83	376	4101
84	376	4056
85	377	4014
86	378	3970
87	379	3930
88	380	3891
89	381	3853
90	382	3816
91	383	3782
92	384	3746
93	385	3711
94	385	3676
95	388	3655
96	389	3623
97	390	3590
98	391	3559
99	392	3528
100	393	3499
101	393	3465
102	395	3440
103	396	3412
104	397	3384
105	397	3356
106	398	3329
107	399	3302
108	400	3275
109	403	3261
110	404	3236
111	405	3211
112	405	3186
113	406	3162
114	407	3138
115	408	3113
116	409	3090
117	410	3068
118	411	3044
119	412	3022
120	413	3000
121	414	2979
122	414	2955
123	415	2934
124	417	2923
125	418	2903
126	419	2884
127	420	2862
128	421	2843
129	422	2824
130	423	2806
131	424	2788
132	425	2771
133	426	2754
134	427	2738
135	428	2721
136	429	2705
137	430	2687
138	433	2683
139	434	2668
140	435	2652
141	436	2636
142	437	2621
143	438	2607
144	439	2592
145	440	2577
146	441	2563
147	442	2549
148	443	2535
149	444	2521
150	447	2518
151	449	2505
152	450	2492
153	451	2478
154	452	2467
155	453	2456
156	455	2443
157	456	2431
158	457	2418
159	458	2405
160	459	2393
161	460	2381
162	461	2372
163	463	2360
164	464	2349
165	465	2337
166	466	2326
167	467	2314
168	468	2303
169	469	2292
170	470	2281
171	471	2270
172	472	2259
173	476	2260
174	477	2253
175	479	2247
176	482	2241
177	483	2234
178	485	2224
179	486	2214
180	486	2202
181	487	2192
182	489	2187
183	491	2180
184	492	2171
185	494	2163
186	495	2154
187	496	2146
188	498	2137
189	499	2127
190	500	2118
191	501	2109
192	502	2100
193	503	2090
194	505	2084
195	506	2076
196	507	2067
197	508	2058
198	509	2049
199	510	2040
200	511	2031
201	512	2023
202	513	2015
203	514	2006
204	515	1998
205	516	1990
206	517	1982
207	519	1976
208	520	1968
209	521	1960
210	522	1952
211	523	1945
212	524	1937
213	525	1929
214	526	1921
215	527	1914
216	528	1907
217	529	1899
218	530	1892
219	531	1885
220	532	1877
221	533	1871
222	534	1864
223	535	1856
224	537	1850
225	538	1843
226	539	1836
227	540	1829
228	541	1823
229	542	1816
230	543	1809
231	544	1803
232	545	1796
233	546	1790
234	547	1783
235	549	1777
236	550	1770
237	551	1764
238	552	1758
239	553	1751
240	554	1745
241	557	1746
242	560	1745
243	565	1752
244	568	1751
245	571	1751
246	573	1749
247	576	1747
248	580	1750
249	585	1756
250	598	1784
251	600	1783
252	604	1783
253	607	1783
254	611	1786
255	614	1786
256	617	1786
257	622	1790
258	624	1787
259	627	1786
260	630	1784
261	633	1783
262	634	1779
263	637	1777
264	640	1775
265	641	1771
266	643	1766
267	644	1759
268	645	1753
269	646	1749
270	648	1743
271	649	1738
272	650	1733
273	652	1728
274	653	1722
275	655	1719
276	656	1714
277	658	1708
278	659	1703
279	660	1699
280	662	1694
281	663	1688
282	664	1683
283	665	1678
284	667	1674
285	668	1669
286	670	1665
287	672	1661
288	673	1657
289	675	1653
290	676	1648
291	678	1644
292	679	1640
293	681	1636
294	682	1632
295	684	1628
296	686	1623
297	687	1619
298	690	1618
299	692	1615
300	694	1613
301	696	1610
302	698	1606
303	700	1603
304	701	1599
305	703	1595
306	704	1590
307	705	1585
308	707	1581
309	708	1577
310	709	1572
311	711	1568
312	712	1564
313	714	1560
314	715	1556
315	717	1553
316	719	1549
317	720	1545
318	721	1541
319	723	1537
320	724	1532
321	725	1528
322	727	1524
323	728	1520
324	731	1518
325	732	1514
326	733	1510
327	735	1506
328	736	1502
329	738	1498
330	739	1494
331	740	1490
332	742	1486
333	744	1484
334	745	1480
335	746	1476
336	748	1471
337	749	1468
338	750	1464
339	752	1460
340	753	1456
341	754	1452
342	756	1448
343	757	1444
344	758	1440
345	760	1437
346	761	1433
347	762	1429
348	764	1425
349	765	1421
350	766	1417
351	767	1413
352	769	1409
353	770	1405
354	771	1402
355	773	1399
356	774	1395
357	776	1391
358	777	1388
359	778	1384
360	780	1380
361	781	1376
362	782	1373
363	783	1369
364	785	1365
365	786	1362
366	788	1359
367	789	1356
368	790	1352
369	792	1349
370	793	1345
371	795	1342
372	796	1338
373	797	1335
374	798	1331
375	800	1328
376	802	1325
377	803	1322
378	804	1318
379	806	1315
380	807	1311
381	808	1308
382	810	1305
383	811	1301
384	812	1298
385	815	1297
386	817	1295
387	819	1291
388	820	1288
389	821	1285
390	822	1281
391	823	1277
392	825	1274
393	826	1270
394	827	1267
395	828	1264
396	830	1260
397	831	1257
398	832	1254
399	834	1251
400	835	1247
401	836	1244
402	837	1240
403	838	1237
404	840	1234
405	841	1231
406	842	1227
407	843	1224
408	844	1220
409	846	1218
410	847	1214
411	849	1211
412	850	1208
413	851	1205
414	852	1202
415	854	1199
416	855	1196
417	856	1193
418	858	1190
419	859	1187
420	861	1184
421	862	1181
422	864	1178
423	865	1175
424	866	1172
425	868	1169
426	869	1166
427	870	1163
428	871	1160
429	873	1157
430	874	1154
431	875	1151
432	876	1148
433	877	1144
434	879	1141
435	880	1139
436	882	1136
437	883	1133
438	884	1130
439	885	1127
440	886	1123
441	887	1120
442	889	1118
443	890	1115
444	892	1112
445	893	1110
446	895	1108
447	896	1104
448	897	1101
449	899	1098
450	900	1095
451	901	1092
452	902	1089
453	903	1086
454	904	1083
455	906	1080
456	907	1077
457	908	1074
458	909	1072
459	910	1069
460	911	1066
461	912	1063
462	913	1060
463	915	1057
464	916	1053
465	917	1051
466	918	1047
467	919	1045
468	920	1042
469	921	1039
470	922	1036
471	923	1033
472	924	1030
473	926	1027
474	927	1024
475	928	1021
476	929	1018
477	930	1015
478	931	1013
479	932	1010
480	933	1007
481	934	1004
482	935	1001
483	936	998
484	937	995
485	938	993
486	939	990
487	940	987
488	941	984
489	942	981
490	944	978
491	945	976
492	946	973
493	947	970
494	949	968
495	950	965
496	951	963
497	952	960
498	953	957
499	954	954
500	956	952
501	957	949
